DOI,Year,Keywords,MeSH Terms,Major Topics,Subheadings,Journal Abbreviation,Affiliation,Country,Grants,Authors,Publisher
10.1093/aob/mcp235,2009,N/A,Animals; Biological Evolution; Ecosystem; Heterotrophic Processes; Mycorrhizae; Species Specificity; Symbiosis,Heterotrophic Processes; Symbiosis,Physiology,Ann Bot,N/A,England,N/A,Vincent Merckx; Martin I Bidartondo; Nicole A Hynson,N/A
10.1093/aob/mcv074,2015,Antioxidants; RNS; ROS; arabidopsis; autophagy; nitric oxide; nitrosative stress; oxidative stress; peroxisomes; photorespiration; reactive nitrogen species; reactive oxygen species; signalling; β-oxidation,Antioxidants; Peroxisomes; Plants; Reactive Nitrogen Species; Reactive Oxygen Species; Signal Transduction,N/A,Metabolism; Metabolism; Metabolism; Metabolism; Metabolism,Ann Bot,N/A,England,N/A,L M Sandalio; M C Romero-Puertas,N/A
10.1093/gigascience/gix053,2017,GenBank; invertebrate-derived (iDNA); metabarcoding; taxonomic assignment,"Animals; Asia, Southeastern; Biodiversity; Computational Biology; Dna Barcoding, Taxonomic; Databases, Nucleic Acid; Genetic Variation; Genome, Mitochondrial; Genomics; Mammals; Molecular Sequence Annotation; Phylogeny; Phylogeography; Reproducibility Of Results","Databases, Nucleic Acid; Genome, Mitochondrial",Methods; Methods; Genetics,Gigascience,N/A,United States,N/A,Faezah Mohd Salleh; Jazmín Ramos-Madrigal; Fernando Peñaloza; Shanlin Liu; S Sinding Mikkel-Holger; P Patel Riddhi; Renata Martins; Dorina Lenz; Jörns Fickel; Christian Roos; Mohd Shahir Shamsir; Mohammad Shahfiz Azman; K Lim Burton; J Rossiter Stephen; Andreas Wilting; M Thomas P Gilbert,N/A
10.1098/rspb.2018.2697,2019,autonomous reef monitoring structures; coral reefs; cytochrome oxidase I; eDNA biodiversity; reef cryptobiome,"Animals; Biodiversity; Coral Reefs; Dna Barcoding, Taxonomic; Electron Transport Complex Iv; Indian Ocean; Life History Traits; Mitochondrial Proteins; Saudi Arabia","Biodiversity; Coral Reefs; Dna Barcoding, Taxonomic",Analysis; Analysis,Proc Biol Sci,N/A,England,N/A,Susana Carvalho; Eva Aylagas; Rodrigo Villalobos; Yasser Kattan; Michael Berumen; John K Pearman,N/A
10.3390/biology12020275,2023,Antarctica; environmental DNA; extremophiles; fungi; metabarcoding; taxonomy,N/A,N/A,N/A,Biology (Basel),N/A,Switzerland,225832,Vivian N Gonçalves; Juan M Lirio; Silvia H Coria; Fabyano A C Lopes; Peter Convey; Fábio S de Oliveira; Micheline Carvalho-Silva; Paulo E A S Câmara; Luiz H Rosa,N/A
10.1128/AEM.02637-17,2018,aerobiology; fungal dispersion; fungal diversity; metabarcoding,"Air Microbiology; Dna Barcoding, Taxonomic; Dna Primers; Dna, Fungal; Dna, Ribosomal Spacer; Fungi; Genetic Variation; High-Throughput Nucleotide Sequencing; Mycobiome; Real-Time Polymerase Chain Reaction",Air Microbiology; Genetic Variation; Mycobiome,Genetics; Genetics; Genetics; Classification; Isolation & Purification,Appl Environ Microbiol,N/A,United States,N/A,Jaime Aguayo; Céline Fourrier-Jeandel; Claude Husson; Renaud Ioos,N/A
10.1111/j.1476-5381.1995.tb14990.x,1995,N/A,"5,7-Dihydroxytryptamine; 8-Hydroxy-2-(Di-N-Propylamino)Tetralin; Animals; Buspirone; Dioxanes; Dioxoles; Drug Interactions; Hippocampus; Hypothalamus; Injections, Subcutaneous; Male; Microdialysis; Neurons; Norepinephrine; Rats; Rats, Wistar; Serotonin; Serotonin Antagonists; Serotonin Receptor Agonists; Tropanes",N/A,Administration & Dosage; Pharmacology; Administration & Dosage; Pharmacology; Administration & Dosage; Pharmacology; Administration & Dosage; Pharmacology; Administration & Dosage; Pharmacology; Drug Effects; Metabolism; Drug Effects; Metabolism; Drug Effects; Pathology; Metabolism; Metabolism; Administration & Dosage; Pharmacology; Administration & Dosage; Pharmacology; Administration & Dosage; Pharmacology,Br J Pharmacol,N/A,England,N/A,M Suzuki; T Matsuda; S Asano; P Somboonthum; K Takuma; A Baba,N/A
10.3390/jof7040293,2021,Tuber; environmental DNA; hypogeous fungi; next-generation sequencing; soil fungal community,N/A,N/A,N/A,J Fungi (Basel),N/A,Switzerland,N/A,Nakarin Suwannarach; Jaturong Kumla; Ammarin In-On; Saisamorn Lumyong,N/A
10.7717/peerj.6421,2019,Ectomycorrhizae; Microbial communities; Quercus acutissima; Soil properties; Truffles; Tuber indicum,N/A,N/A,N/A,PeerJ,N/A,United States,N/A,Xiaoping Zhang; Lei Ye; Zongjing Kang; Jie Zou; Xiaoping Zhang; Xiaolin Li,N/A
10.1371/journal.pone.0175720,2017,N/A,"Ascomycota; Bacteria; Dna, Fungal; High-Throughput Nucleotide Sequencing; Pinus; Plant Roots; Rna, Ribosomal, 16S; Rhizosphere; Sequence Analysis, Dna; Soil Microbiology",Soil Microbiology,Classification; Genetics; Isolation & Purification; Classification; Genetics; Isolation & Purification; Chemistry; Genetics; Metabolism; Microbiology; Microbiology; Genetics,PLoS One,N/A,United States,N/A,Qiang Li; Jian Zhao; Chuan Xiong; Xiaolin Li; Zuqin Chen; Ping Li; Wenli Huang,N/A
10.7717/peerj.2606,2016,Bacterial endophytes; Burkholderia; Plant functional traits; Plant morphology; Populus trichocarpa; Pseudomonas fluorescens; Trait plasticity,N/A,N/A,N/A,PeerJ,N/A,United States,N/A,Jeremiah A Henning; David J Weston; Dale A Pelletier; Collin M Timm; Sara S Jawdy; Aimée T Classen,N/A
10.3389/fpls.2016.00497,2016,Burkholderia; Populus deltoides; Pseudomonas; microbiome; plant-microbe interactions,N/A,N/A,N/A,Front Plant Sci,N/A,Switzerland,N/A,Collin M Timm; Dale A Pelletier; Sara S Jawdy; Lee E Gunter; Jeremiah A Henning; Nancy Engle; Jayde Aufrecht; Emily Gee; Intawat Nookaew; Zamin Yang; Tse-Yuan Lu; Timothy J Tschaplinski; Mitchel J Doktycz; Gerald A Tuskan; David J Weston,N/A
10.3389/fmicb.2014.00283,2014,abiotic stress; agriculture; drought; plant growth promotion; plant–microbe interactions; symbiosis,N/A,N/A,N/A,Front Microbiol,N/A,Switzerland,N/A,Devin Coleman-Derr; Susannah G Tringe,N/A
10.1073/pnas.0504423102,2005,N/A,"Ascorbic Acid; Basidiomycota; Crops, Agricultural; Glutathione; Hordeum; Mycorrhizae; Oxidation-Reduction; Plant Diseases; Plant Leaves; Salts; Symbiosis",Salts,Metabolism; Physiology; Physiology; Metabolism; Physiology; Physiology; Microbiology; Physiology; Metabolism; Physiology,Proc Natl Acad Sci U S A,N/A,United States,N/A,Frank Waller; Beate Achatz; Helmut Baltruschat; József Fodor; Katja Becker; Marina Fischer; Tobias Heier; Ralph Hückelhoven; Christina Neumann; Diter von Wettstein; Philipp Franken; Karl-Heinz Kogel,N/A
10.1098/rsos.160296,2016,Antarctica; environmental DNA; gradient; high-throughput sequencing; invertebrates; salinity,N/A,N/A,N/A,R Soc Open Sci,N/A,England,N/A,Paul Czechowski; Duanne White; Laurence Clarke; Alan McKay; Alan Cooper; Mark I Stevens,N/A
10.4161/psb.6.1.14191,2011,N/A,"Fruit; Models, Statistical; Periodicals As Topic; Plants; Volatile Organic Compounds","Models, Statistical",Chemistry; Chemistry; Analysis,Plant Signal Behav,N/A,United States,N/A,Yuvaraj Ranganathan; Renee M Borges,N/A
10.1007/s11004-005-7383-7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10.1113/jphysiol.1982.sp014295,1982,N/A,"Acetylcholine; Action Potentials; Aging; Animals; Body Weight; Female; Hyperthyroidism; Hypothyroidism; Male; Neuromuscular Junction; Neurotransmitter Agents; Phrenic Nerve; Rats; Rats, Inbred Strains; Respiration",N/A,Pharmacology; Physiopathology; Physiopathology; Drug Effects; Physiopathology; Metabolism; Physiopathology,J Physiol,N/A,England,N/A,K Kawa; K Obata,N/A
10.1038/s41598-020-58228-8,2020,N/A,N/A,N/A,N/A,Sci Rep,N/A,England,N/A,Luke E Holman; Mark de Bruyn; Simon Creer; Gary Carvalho; Julie Robidart; Marc Rius,N/A
10.1002/ece3.8281,2021,DNA barcoding; DNA metabarcoding; environmental DNA; metagenomics; pollen; whole‐genome shotgun sequencing,N/A,N/A,N/A,Ecol Evol,N/A,England,N/A,Karen L Bell; Robert A Petit; Anya Cutler; Emily K Dobbs; J Michael Macpherson; Timothy D Read; Kevin S Burgess; Berry J Brosi,N/A
10.3389/fpls.2014.00209,2014,bioinformatics; host–microbe interactions; metagenome; microbial diversity; microbiome; microbiota; review,N/A,N/A,N/A,Front Plant Sci,N/A,Switzerland,N/A,Thomas J Sharpton,N/A
10.1038/nature08586,2009,N/A,"Bacteria; Base Sequence; Gene Expression Regulation, Bacterial; Genome, Bacterial; Genomics; Molecular Sequence Data; Nucleic Acid Conformation; Rna, Bacterial; Rna, Untranslated",Genomics; Nucleic Acid Conformation,Genetics; Metabolism; Genetics; Chemistry; Genetics; Chemistry; Genetics,Nature,N/A,England,S10 RR019895; P01 GM022778; F32 GM079974; RR19895-02,Zasha Weinberg; Jonathan Perreault; Michelle M Meyer; Ronald R Breaker,N/A
10.1073/pnas.91.7.2527,1994,N/A,"Bacteria; Bacteroides; Base Sequence; Catalysis; Cloning, Molecular; Endoribonucleases; Escherichia Coli Proteins; Flavobacterium; Genes, Bacterial; Molecular Sequence Data; Nucleic Acid Conformation; Rna, Bacterial; Rna, Catalytic; Ribonuclease P; Sequence Homology, Nucleic Acid",Escherichia Coli Proteins,Chemistry; Genetics; Metabolism; Chemistry; Genetics; Chemistry; Genetics; Metabolism,Proc Natl Acad Sci U S A,N/A,United States,34527-10,E S Haas; J W Brown; C Pitulle; N R Pace,N/A
10.1016/j.marpol.2017.08.014,2017,Early detection; Environmental DNA; Good environmental status; High throughput sequencing; Marine Strategy Framework Directive; Marine invasive species; Metabarcoding; Monitoring; Surveillance,N/A,N/A,N/A,Mar Policy,N/A,Netherlands,EPA999999; EPA999999,John A Darling; Bella S Galil; Gary R Carvalho; Marc Rius; Frédérique Viard; Stefano Piraino,N/A
10.1264/jsme2.ME11304,2012,N/A,"Gene Expression Profiling; High-Throughput Nucleotide Sequencing; Microarray Analysis; Microbiological Techniques; Molecular Biology; Rna, Bacterial; Real-Time Polymerase Chain Reaction; Soil Microbiology",Soil Microbiology,Methods; Methods; Methods; Methods; Methods; Isolation & Purification; Methods,Microbes Environ,N/A,Japan,N/A,Yong Wang; Masahito Hayatsu; Takeshi Fujii,N/A
10.1128/AEM.69.4.1928-1935.2003,2003,N/A,"Azotobacter Vinelandii; Culture Media; Gene Expression Regulation, Bacterial; Nitrogen Fixation; Oxidoreductases; Quaternary Ammonium Compounds; Rna, Bacterial; Rna, Messenger; Reverse Transcriptase Polymerase Chain Reaction; Soil Microbiology",Reverse Transcriptase Polymerase Chain Reaction; Soil Microbiology,Genetics; Growth & Development; Metabolism; Genetics; Metabolism; Metabolism; Genetics; Isolation & Purification; Metabolism; Genetics; Isolation & Purification; Metabolism,Appl Environ Microbiol,N/A,United States,N/A,Helmut Bürgmann; Franco Widmer; William V Sigler; Josef Zeyer,N/A
10.1016/j.isci.2024.109476,2024,Ecology; Environmental Biotechnology; Environmental science,N/A,N/A,N/A,iScience,N/A,United States,N/A,Qi Lu; Yongqin Liu; Jindong Zhao; Meng Yao,N/A
10.1038/s41598-024-56930-5,2024,Aquatic insects; Morphology; Species delimitation; Stoneflies; Water monitoring,"Animals; Insecta; Switzerland; Dna Barcoding, Taxonomic; Biodiversity; Ecosystem","Insecta; Dna Barcoding, Taxonomic",Genetics; Methods,Sci Rep,N/A,England,N/A,Laurent Vuataz; Jean-Paul Reding; Alexis Reding; Christian Roesti; Céline Stoffel; Gilles Vinçon; Jean-Luc Gattolliat,N/A
10.1002/ece3.6733,2020,Lepidoptera; cytochrome c oxidase subunit I; glacial refugia; intraspecific genetic divergence,N/A,N/A,N/A,Ecol Evol,N/A,England,N/A,Álvaro Gaytán; Johannes Bergsten; Tara Canelo; Carlos Pérez-Izquierdo; Maria Santoro; Raul Bonal,N/A
10.1371/journal.pone.0108651,2014,N/A,"Animals; Base Composition; Biodiversity; Coleoptera; Dna Barcoding, Taxonomic; Dna, Mitochondrial; Evolution, Molecular; Genetic Variation; Haplotypes","Dna Barcoding, Taxonomic",Classification; Genetics,PLoS One,N/A,United States,N/A,Mikko Pentinsaari; Paul D N Hebert; Marko Mutanen,N/A
10.1111/cobi.13849,2022,actividad antropogénica; anthropogenic activity; coastal water bodies; cuerpos de agua costeros; environmental DNA metabarcoding; estuario; estuary; land use; metasecuenciación de ADN ambiental; uso de suelo,Animals; Biodiversity; Conservation Of Natural Resources; Ecosystem; Endangered Species; Fishes; Forests; Japan,Ecosystem; Endangered Species,N/A,Conserv Biol,N/A,United States,N/A,Edouard Lavergne; Manabu Kume; Hyojin Ahn; Yumi Henmi; Yuki Terashima; Feng Ye; Satoshi Kameyama; Yoshiaki Kai; Kohmei Kadowaki; Shiho Kobayashi; Yoh Yamashita; Akihide Kasai,N/A
10.1038/s42003-018-0119-2,2018,N/A,N/A,N/A,N/A,Commun Biol,N/A,England,N/A,Francesca Leasi; Joseph L Sevigny; Eric M Laflamme; Tom Artois; Marco Curini-Galletti; Alberto de Jesus Navarrete; Maikon Di Domenico; Freya Goetz; Jeffrey A Hall; Rick Hochberg; Katharina M Jörger; Ulf Jondelius; M Antonio Todaro; Herman H Wirshing; Jon L Norenburg; W Kelley Thomas,N/A
10.1002/ece3.1485,2015,Biodiversity; high-throughput sequencing; metabarcoding; mock community; nSSU; zooplankton,N/A,N/A,N/A,Ecol Evol,N/A,England,N/A,Emily A Brown; Frédéric J J Chain; Teresa J Crease; Hugh J MacIsaac; Melania E Cristescu,N/A
10.3390/biology13060414,2024,Antarctica; eDNA; environmental drivers; fungi,N/A,N/A,N/A,Biology (Basel),N/A,Switzerland,N/A,Natana G Rabelo; Vívian N Gonçalves; Marcelo A Carvalho; Sandro M Scheffler; Gustavo Santiago; Paula A Sucerquia; Fabio S Oliveira; Larissa P Campos; Fabyano A C Lopes; Karita C R Santos; Micheline C Silva; Peter Convey; Paulo E A S Câmara; Luiz H Rosa,N/A
10.3389/fmicb.2021.713189,2021,Antarctica; Pseudogymnoascus; multi-locus phylogenetic analyses; new species; taxonomy,N/A,N/A,N/A,Front Microbiol,N/A,Switzerland,N/A,Pablo Villanueva; Ghislaine Vásquez; Carlos Gil-Durán; Vicente Oliva; Anaí Díaz; Marlene Henríquez; Eduardo Álvarez; Federico Laich; Renato Chávez; Inmaculada Vaca,N/A
10.1186/s12864-015-1570-9,2015,N/A,"Ascomycota; Clonal Evolution; Evolution, Molecular; Genome, Fungal; Phylogeny; Reproduction, Asexual; Sequence Analysis, Dna; Species Specificity","Clonal Evolution; Genome, Fungal",Classification; Genetics; Physiology,BMC Genomics,N/A,England,N/A,Evgeny V Leushkin; Maria D Logacheva; Aleksey A Penin; Roman A Sutormin; Evgeny S Gerasimov; Galina A Kochkina; Natalia E Ivanushkina; Oleg V Vasilenko; Alexey S Kondrashov; Svetlana M Ozerskaya,N/A
10.1093/emboj/cdg235,2003,N/A,"Alleles; Candida Albicans; Cell Death; Cell Separation; Chromosomes, Fungal; Flow Cytometry; Genotype; Humans; Phenotype",N/A,Genetics; Physiology; Physiology,EMBO J,N/A,England,N/A,Richard J Bennett; Alexander D Johnson,N/A
10.1093/genetics/143.2.769,1996,N/A,"Amino Acid Sequence; Base Sequence; Candida Albicans; Cell Cycle Proteins; Dna-Binding Proteins; Fungal Proteins; Genes, Fungal; Meiosis; Molecular Sequence Data; Recombination, Genetic; Saccharomyces Cerevisiae; Saccharomyces Cerevisiae Proteins; Sequence Analysis, Dna; Sequence Homology, Amino Acid","Cell Cycle Proteins; Fungal Proteins; Genes, Fungal",Genetics; Genetics; Genetics; Genetics,Genetics,N/A,United States,GM-35010,A C Diener; G R Fink,N/A
10.1371/journal.pone.0220953,2019,N/A,"Biodiversity; Computational Biology; Dna Barcoding, Taxonomic; Electron Transport Complex Iv; Fresh Water; High-Throughput Nucleotide Sequencing; Polymerase Chain Reaction","Biodiversity; Dna Barcoding, Taxonomic; Fresh Water",Methods; Genetics,PLoS One,N/A,United States,N/A,Mehrdad Hajibabaei; Teresita M Porter; Michael Wright; Josip Rudar,N/A
10.3390/microorganisms8040506,2020,DNA polymerase; MEGAPRIMER; Mimiviridae; primer cocktail; ‘Megaviridae’,N/A,N/A,N/A,Microorganisms,N/A,Switzerland,203143100025; 26430184; 17H03850; 18H02279; 16H06279; 16H06429; 16K21723; 16H06437; 2019-33; 2018-31; 2017-25; 2016-28,Florian Prodinger; Hisashi Endo; Yasuhiro Gotoh; Yanze Li; Daichi Morimoto; Kimiho Omae; Kento Tominaga; Romain Blanc-Mathieu; Yoshihito Takano; Tetsuya Hayashi; Keizo Nagasaki; Takashi Yoshida; Hiroyuki Ogata,N/A
10.1073/pnas.1007615107,2010,N/A,"Acanthamoeba; Animals; Dna Viruses; Food Chain; Genes, Viral; Genome, Viral; Marine Biology; Molecular Sequence Data; Oceans And Seas; Phylogeny; Zooplankton","Dna Viruses; Genome, Viral",Genetics; Virology,Proc Natl Acad Sci U S A,N/A,United States,N/A,Matthias G Fischer; Michael J Allen; William H Wilson; Curtis A Suttle,N/A
10.3389/fmicb.2023.1167083,2023,biodeterioration; cultural heritage; microbial genomics; microbial isolation; rock-inhabiting fungi; stone-inhabiting bacteria; tangible monuments,N/A,N/A,N/A,Front Microbiol,N/A,Switzerland,N/A,Samah Mohamed Rizk; Mahmoud Magdy; Filomena De Leo; Olaf Werner; Mohamed Abdel-Salam Rashed; Rosa M Ros; Clara Urzì,N/A
10.1371/journal.pone.0139633,2015,N/A,"Animals; Aquatic Organisms; Biodiversity; Biota; Dna; Dna Barcoding, Taxonomic; Dna, Ribosomal; Ecosystem; Environmental Monitoring; Fisheries; Geologic Sediments; Mediterranean Sea; Rna, Ribosomal, 18S; Sequence Analysis, Dna","Dna Barcoding, Taxonomic; Geologic Sediments",Genetics; Genetics; Isolation & Purification; Genetics; Methods; Genetics,PLoS One,N/A,United States,N/A,Magdalena Guardiola; María Jesús Uriz; Pierre Taberlet; Eric Coissac; Owen Simon Wangensteen; Xavier Turon,N/A
10.1038/s41598-022-12290-6,2022,N/A,"Antarctic Regions; Ascomycota; Biodiversity; Dna; Dna Barcoding, Taxonomic; Dna, Fungal; Fungi; Lakes; Mycobiome",Ascomycota; Mycobiome,Genetics; Genetics; Genetics; Genetics,Sci Rep,N/A,England,N/A,Láuren Machado Drumond de Souza; Juan Manuel Lirio; Silvia Herminda Coria; Fabyano Alvares Cardoso Lopes; Peter Convey; Micheline Carvalho-Silva; Fábio Soares de Oliveira; Carlos Augusto Rosa; Paulo Eduardo Aguiar Saraiva Câmara; Luiz Henrique Rosa,N/A
10.3390/microorganisms9061188,2021,Great Basin; algae; amplicon sequencing; bacteria; biofilm; diatoms; environmental sampling; fungi; high-throughput sequencing; metabarcoding,N/A,N/A,N/A,Microorganisms,N/A,Switzerland,N/A,Jake Burgoyne; Robin Crepeau; Jacob Jensen; Hayden Smith; Gretchen Baker; Steven D Leavitt,N/A
10.3389/fmicb.2015.00244,2015,16S rRNA; bacterial diversity; cave; elemental composition; pyrosequencing; rock surface,N/A,N/A,N/A,Front Microbiol,N/A,Switzerland,N/A,Yucheng Wu; Liangcheng Tan; Wuxing Liu; Baozhan Wang; Jianjun Wang; Yanjun Cai; Xiangui Lin,N/A
10.1038/ismej.2013.159,2014,N/A,"Archaea; Arizona; Bacteria; Biodiversity; Carbon Cycle; Caves; Desert Climate; Metagenome; Metagenomics; Nitrogen; Rna, Ribosomal, 16S; Soil Microbiology",Archaea; Bacteria; Biodiversity; Metagenome,Genetics; Metabolism; Genetics; Metabolism; Genetics; Microbiology; Metabolism; Genetics,ISME J,N/A,England,N/A,Marianyoly Ortiz; Antje Legatzki; Julia W Neilson; Brandon Fryslie; William M Nelson; Rod A Wing; Carol A Soderlund; Barry M Pryor; Raina M Maier,N/A
10.1038/ismej.2012.9,2012,N/A,Archaea; Arctic Regions; Bacteria; Biodiversity; Eukaryota; Fresh Water; Soil Microbiology; Water Microbiology,Biodiversity; Soil Microbiology; Water Microbiology,Classification; Genetics; Classification; Genetics; Classification; Genetics; Microbiology,ISME J,N/A,England,N/A,Byron C Crump; Linda A Amaral-Zettler; George W Kling,N/A
10.1111/eva.12707,2019,ITS; Megachile; historic bee specimens; insect collection; palynology; plant–pollinator interaction,N/A,N/A,N/A,Evol Appl,N/A,England,N/A,Annemarie Gous; Dirk Z H Swanevelder; Connal D Eardley; Sandi Willows-Munro,N/A
10.1038/s41598-023-50541-2,2024,N/A,Silica Gel; Dna; Microbiota; Soil; Ethanol,Dna; Microbiota,N/A,Sci Rep,N/A,England,N/A,Emily Smenderovac; Caroline Emilson; Karelle Rheault; Élodie Brazeau; Marie-Josée Morency; Patrick Gagné; Lisa Venier; Christine Martineau,N/A
10.3390/ani12060763,2022,amphibian; biodiversity; conservation; conventional; eDNA; metabarcoding,N/A,N/A,N/A,Animals (Basel),N/A,Switzerland,2020-0069; 2020-7,Anne Katrine Nørgaard Svenningsen; Cino Pertoldi; Dan Bruhn,N/A
10.1098/rstb.2021.0025,2022,ascidians; biodiversity; environmental DNA; non-native species; range shifts,Animals; Biodiversity; Endangered Species; Genetic Variation; Humans; Introduced Species,Biodiversity; Introduced Species,N/A,Philos Trans R Soc Lond B Biol Sci,N/A,England,N/A,Luke E Holman; Shirley Parker-Nance; Mark de Bruyn; Simon Creer; Gary Carvalho; Marc Rius,N/A
10.7554/eLife.87202,2023,Chironomus kiiensis; Globisporangium nunn; agricultural system; ecology; environmental DNA; plant biology; rice; unified information-theoretic causality,Oryza; Plant Breeding; Agriculture; Food; Proof Of Concept Study,Oryza,N/A,Elife,N/A,England,N/A,Masayuki Ushio; Hiroki Saito; Motoaki Tojo; Atsushi J Nagano,N/A
10.1016/j.isci.2024.110124,2024,Aquatic biology; Ecology; Molecular biology,N/A,N/A,N/A,iScience,N/A,United States,N/A,Si-Yu Zhang; Qi Yan; Jindong Zhao; Yongqin Liu; Meng Yao,N/A
10.1038/ismej.2011.41,2011,N/A,"Bacteria; Baltic States; Biodiversity; Biota; Fresh Water; Oceans And Seas; Phylogeny; Rna, Bacterial; Rna, Ribosomal, 16S; Salinity; Seawater",Salinity,Classification; Genetics; Isolation & Purification; Microbiology; Genetics; Genetics; Microbiology,ISME J,N/A,England,N/A,Daniel Pr Herlemann; Matthias Labrenz; Klaus Jürgens; Stefan Bertilsson; Joanna J Waniek; Anders F Andersson,N/A
10.1038/s41598-022-14216-8,2022,N/A,Animals; Cyanobacteria; Ecosystem; Eutrophication; Humans; Lakes; New Zealand; Polymerase Chain Reaction,Cyanobacteria; Lakes,Genetics; Microbiology,Sci Rep,N/A,England,N/A,Maïlys Picard; Xavier Pochon; Javier Atalah; John K Pearman; Andrew Rees; Jamie D Howarth; Christopher M Moy; Marcus J Vandergoes; Ian Hawes; Samiullah Khan; Susanna A Wood,N/A
10.3389/fmicb.2019.02736,2019,18S rRNA gene; functional diversity; marine protists; northern Adriatic Sea; protist community structure,N/A,N/A,N/A,Front Microbiol,N/A,Switzerland,N/A,Simona Armeli Minicante; Roberta Piredda; Grazia Marina Quero; Stefania Finotto; Fabrizio Bernardi Aubry; Mauro Bastianini; Alessandra Pugnetti; Adriana Zingone,N/A
10.1038/s41597-021-00987-8,2021,N/A,"Bacteria; Czech Republic; Dna Barcoding, Taxonomic; Dna, Ribosomal Spacer; Ecosystem; Fagus; Forests; Fungi; Metagenome; Microbiota; Rna, Ribosomal, 16S; Trees; Wood",Metagenome; Microbiota,Classification; Genetics; Microbiology; Classification; Genetics; Microbiology; Microbiology,Sci Data,N/A,England,N/A,Vojtěch Tláskal; Vendula Brabcová; Tomáš Větrovský; Rubén López-Mondéjar; Lummy Maria Oliveira Monteiro; João Pedro Saraiva; Ulisses Nunes da Rocha; Petr Baldrian,N/A
10.1038/s41587-020-0718-6,2021,N/A,Air Microbiology; Animals; Archaea; Bacteria; Catalogs As Topic; Ecosystem; Humans; Metabolomics; Metagenome; Metagenomics; Phylogeny; Soil Microbiology; Viruses; Water Microbiology,Metagenome,Classification; Genetics; Isolation & Purification; Classification; Genetics; Isolation & Purification; Methods; Methods; Genetics; Isolation & Purification,Nat Biotechnol,N/A,United States,N/A,Stephen Nayfach; Simon Roux; Rekha Seshadri; Daniel Udwary; Neha Varghese; Frederik Schulz; Dongying Wu; David Paez-Espino; I-Min Chen; Marcel Huntemann; Krishna Palaniappan; Joshua Ladau; Supratim Mukherjee; T B K Reddy; Torben Nielsen; Edward Kirton; José P Faria; Janaka N Edirisinghe; Christopher S Henry; Sean P Jungbluth; Dylan Chivian; Paramvir Dehal; Elisha M Wood-Charlson; Adam P Arkin; Susannah G Tringe; Axel Visel; Tanja Woyke; Nigel J Mouncey; Natalia N Ivanova; Nikos C Kyrpides; Emiley A Eloe-Fadrosh,N/A
10.1038/ncomms13219,2016,N/A,"Bacteria; Carbon; Ecosystem; Genome, Microbial; Geologic Sediments; Groundwater; Metagenomics; Nitrogen; Phylogeny; Rna, Ribosomal, 16S; Sulfur",Metagenomics,Classification; Genetics; Metabolism; Metabolism; Genetics; Microbiology; Microbiology; Metabolism; Genetics; Metabolism,Nat Commun,N/A,England,N/A,Karthik Anantharaman; Christopher T Brown; Laura A Hug; Itai Sharon; Cindy J Castelle; Alexander J Probst; Brian C Thomas; Andrea Singh; Michael J Wilkins; Ulas Karaoz; Eoin L Brodie; Kenneth H Williams; Susan S Hubbard; Jillian F Banfield,N/A
10.1128/mBio.00708-13,2013,N/A,"Bacteria; Genome Size; Genome, Bacterial; Geologic Sediments; Groundwater; Metagenomics; Molecular Sequence Data; Phylogeny","Genome, Bacterial",Classification; Genetics; Isolation & Purification; Metabolism; Microbiology; Analysis; Microbiology,mBio,N/A,United States,N/A,Rose S Kantor; Kelly C Wrighton; Kim M Handley; Itai Sharon; Laura A Hug; Cindy J Castelle; Brian C Thomas; Jillian F Banfield,N/A
10.1093/nar/25.5.955,1997,N/A,"Animals; Databases, Factual; Evaluation Studies As Topic; Genome; Introns; Rna; Rna, Bacterial; Rna, Mitochondrial; Rna, Transfer; Rna, Transfer, Amino Acid-Specific; Software",Software,Genetics; Analysis; Genetics; Analysis; Genetics; Genetics,Nucleic Acids Res,N/A,England,N/A,T M Lowe; S R Eddy,N/A
10.1111/mec.15472,2021,biodiversity; biomonitoring; ecosystem management; environmental DNA; implementation strategy; metabarcoding,"Biodiversity; Dna Barcoding, Taxonomic; Ecosystem; Environmental Monitoring; Metagenomics",Ecosystem; Metagenomics,N/A,Mol Ecol,N/A,England,N/A,Tristan Cordier; Laura Alonso-Sáez; Laure Apothéloz-Perret-Gentil; Eva Aylagas; David A Bohan; Agnès Bouchez; Anthony Chariton; Simon Creer; Larissa Frühe; François Keck; Nigel Keeley; Olivier Laroche; Florian Leese; Xavier Pochon; Thorsten Stoeck; Jan Pawlowski; Anders Lanzén,N/A
10.1186/2047-217X-2-4,2013,N/A,N/A,N/A,N/A,Gigascience,N/A,United States,N/A,Xin Zhou; Yiyuan Li; Shanlin Liu; Qing Yang; Xu Su; Lili Zhou; Min Tang; Ribei Fu; Jiguang Li; Quanfei Huang,N/A
