DOI,Year,Keywords,MeSH Terms,Major Topics,Subheadings
10.1111/cobi.13849,2022,actividad antropogénica; anthropogenic activity; coastal water bodies; cuerpos de agua costeros; environmental DNA metabarcoding; estuario; estuary; land use; metasecuenciación de ADN ambiental; uso de suelo,Animals; Biodiversity; Conservation Of Natural Resources; Ecosystem; Endangered Species; Fishes; Forests; Japan,Ecosystem; Endangered Species,N/A
10.1038/s42003-018-0119-2,2018,N/A,N/A,N/A,N/A
10.1002/ece3.1485,2015,Biodiversity; high-throughput sequencing; metabarcoding; mock community; nSSU; zooplankton,N/A,N/A,N/A
10.3390/biology13060414,2024,Antarctica; eDNA; environmental drivers; fungi,N/A,N/A,N/A
10.3389/fmicb.2021.713189,2021,Antarctica; Pseudogymnoascus; multi-locus phylogenetic analyses; new species; taxonomy,N/A,N/A,N/A
10.1186/s12864-015-1570-9,2015,N/A,"Ascomycota; Clonal Evolution; Evolution, Molecular; Genome, Fungal; Phylogeny; Reproduction, Asexual; Sequence Analysis, Dna; Species Specificity","Clonal Evolution; Genome, Fungal",Classification; Genetics; Physiology
10.1093/emboj/cdg235,2003,N/A,"Alleles; Candida Albicans; Cell Death; Cell Separation; Chromosomes, Fungal; Flow Cytometry; Genotype; Humans; Phenotype",N/A,Genetics; Physiology; Physiology
10.1093/genetics/143.2.769,1996,N/A,"Amino Acid Sequence; Base Sequence; Candida Albicans; Cell Cycle Proteins; Dna-Binding Proteins; Fungal Proteins; Genes, Fungal; Meiosis; Molecular Sequence Data; Recombination, Genetic; Saccharomyces Cerevisiae; Saccharomyces Cerevisiae Proteins; Sequence Analysis, Dna; Sequence Homology, Amino Acid","Cell Cycle Proteins; Fungal Proteins; Genes, Fungal",Genetics; Genetics; Genetics; Genetics
10.1371/journal.pone.0220953,2019,N/A,"Biodiversity; Computational Biology; Dna Barcoding, Taxonomic; Electron Transport Complex Iv; Fresh Water; High-Throughput Nucleotide Sequencing; Polymerase Chain Reaction","Biodiversity; Dna Barcoding, Taxonomic; Fresh Water",Methods; Genetics
10.3390/microorganisms8040506,2020,DNA polymerase; MEGAPRIMER; Mimiviridae; primer cocktail; ‘Megaviridae’,N/A,N/A,N/A
10.1073/pnas.1007615107,2010,N/A,"Acanthamoeba; Animals; Dna Viruses; Food Chain; Genes, Viral; Genome, Viral; Marine Biology; Molecular Sequence Data; Oceans And Seas; Phylogeny; Zooplankton","Dna Viruses; Genome, Viral",Genetics; Virology
10.3389/fmicb.2023.1167083,2023,biodeterioration; cultural heritage; microbial genomics; microbial isolation; rock-inhabiting fungi; stone-inhabiting bacteria; tangible monuments,N/A,N/A,N/A
10.1371/journal.pone.0139633,2015,N/A,"Animals; Aquatic Organisms; Biodiversity; Biota; Dna; Dna Barcoding, Taxonomic; Dna, Ribosomal; Ecosystem; Environmental Monitoring; Fisheries; Geologic Sediments; Mediterranean Sea; Rna, Ribosomal, 18S; Sequence Analysis, Dna","Dna Barcoding, Taxonomic; Geologic Sediments",Genetics; Genetics; Isolation & Purification; Genetics; Methods; Genetics
10.1038/s41598-022-12290-6,2022,N/A,"Antarctic Regions; Ascomycota; Biodiversity; Dna; Dna Barcoding, Taxonomic; Dna, Fungal; Fungi; Lakes; Mycobiome",Ascomycota; Mycobiome,Genetics; Genetics; Genetics; Genetics
10.3390/microorganisms9061188,2021,Great Basin; algae; amplicon sequencing; bacteria; biofilm; diatoms; environmental sampling; fungi; high-throughput sequencing; metabarcoding,N/A,N/A,N/A
10.3389/fmicb.2015.00244,2015,16S rRNA; bacterial diversity; cave; elemental composition; pyrosequencing; rock surface,N/A,N/A,N/A
10.1038/ismej.2013.159,2014,N/A,"Archaea; Arizona; Bacteria; Biodiversity; Carbon Cycle; Caves; Desert Climate; Metagenome; Metagenomics; Nitrogen; Rna, Ribosomal, 16S; Soil Microbiology",Archaea; Bacteria; Biodiversity; Metagenome,Genetics; Metabolism; Genetics; Metabolism; Genetics; Microbiology; Metabolism; Genetics
10.1038/ismej.2012.9,2012,N/A,Archaea; Arctic Regions; Bacteria; Biodiversity; Eukaryota; Fresh Water; Soil Microbiology; Water Microbiology,Biodiversity; Soil Microbiology; Water Microbiology,Classification; Genetics; Classification; Genetics; Classification; Genetics; Microbiology
10.1111/eva.12707,2019,ITS; Megachile; historic bee specimens; insect collection; palynology; plant–pollinator interaction,N/A,N/A,N/A
10.1038/s41598-023-50541-2,2024,N/A,Silica Gel; Dna; Microbiota; Soil; Ethanol,Dna; Microbiota,N/A
10.3390/ani12060763,2022,amphibian; biodiversity; conservation; conventional; eDNA; metabarcoding,N/A,N/A,N/A
10.1098/rstb.2021.0025,2022,ascidians; biodiversity; environmental DNA; non-native species; range shifts,Animals; Biodiversity; Endangered Species; Genetic Variation; Humans; Introduced Species,Biodiversity; Introduced Species,N/A
10.7554/eLife.87202,2023,Chironomus kiiensis; Globisporangium nunn; agricultural system; ecology; environmental DNA; plant biology; rice; unified information-theoretic causality,Oryza; Plant Breeding; Agriculture; Food; Proof Of Concept Study,Oryza,N/A
10.1016/j.isci.2024.110124,2024,Aquatic biology; Ecology; Molecular biology,N/A,N/A,N/A
10.1038/ismej.2011.41,2011,N/A,"Bacteria; Baltic States; Biodiversity; Biota; Fresh Water; Oceans And Seas; Phylogeny; Rna, Bacterial; Rna, Ribosomal, 16S; Salinity; Seawater",Salinity,Classification; Genetics; Isolation & Purification; Microbiology; Genetics; Genetics; Microbiology
10.1038/s41598-022-14216-8,2022,N/A,Animals; Cyanobacteria; Ecosystem; Eutrophication; Humans; Lakes; New Zealand; Polymerase Chain Reaction,Cyanobacteria; Lakes,Genetics; Microbiology
10.3389/fmicb.2019.02736,2019,18S rRNA gene; functional diversity; marine protists; northern Adriatic Sea; protist community structure,N/A,N/A,N/A
10.1038/s41597-021-00987-8,2021,N/A,"Bacteria; Czech Republic; Dna Barcoding, Taxonomic; Dna, Ribosomal Spacer; Ecosystem; Fagus; Forests; Fungi; Metagenome; Microbiota; Rna, Ribosomal, 16S; Trees; Wood",Metagenome; Microbiota,Classification; Genetics; Microbiology; Classification; Genetics; Microbiology; Microbiology
10.1038/s41587-020-0718-6,2021,N/A,Air Microbiology; Animals; Archaea; Bacteria; Catalogs As Topic; Ecosystem; Humans; Metabolomics; Metagenome; Metagenomics; Phylogeny; Soil Microbiology; Viruses; Water Microbiology,Metagenome,Classification; Genetics; Isolation & Purification; Classification; Genetics; Isolation & Purification; Methods; Methods; Genetics; Isolation & Purification
10.1038/ncomms13219,2016,N/A,"Bacteria; Carbon; Ecosystem; Genome, Microbial; Geologic Sediments; Groundwater; Metagenomics; Nitrogen; Phylogeny; Rna, Ribosomal, 16S; Sulfur",Metagenomics,Classification; Genetics; Metabolism; Metabolism; Genetics; Microbiology; Microbiology; Metabolism; Genetics; Metabolism
10.1128/mBio.00708-13,2013,N/A,"Bacteria; Genome Size; Genome, Bacterial; Geologic Sediments; Groundwater; Metagenomics; Molecular Sequence Data; Phylogeny","Genome, Bacterial",Classification; Genetics; Isolation & Purification; Metabolism; Microbiology; Analysis; Microbiology
10.1093/nar/25.5.955,1997,N/A,"Animals; Databases, Factual; Evaluation Studies As Topic; Genome; Introns; Rna; Rna, Bacterial; Rna, Mitochondrial; Rna, Transfer; Rna, Transfer, Amino Acid-Specific; Software",Software,Genetics; Analysis; Genetics; Analysis; Genetics; Genetics
10.1111/mec.15472,2021,biodiversity; biomonitoring; ecosystem management; environmental DNA; implementation strategy; metabarcoding,"Biodiversity; Dna Barcoding, Taxonomic; Ecosystem; Environmental Monitoring; Metagenomics",Ecosystem; Metagenomics,N/A
10.1186/2047-217X-2-4,2013,N/A,N/A,N/A,N/A
10.1101/gr.094508.109,2009,N/A,"Algorithms; Animals; Automobiles; Bacteria; Computational Biology; Dna; Dna, Bacterial; Databases, Nucleic Acid; Humans; Metagenomics; Phylogeny; Reproducibility Of Results; Sequence Analysis, Dna; Software",Algorithms,Classification; Genetics; Methods; Chemistry; Isolation & Purification; Chemistry; Isolation & Purification; Methods; Methods
10.1371/journal.pbio.0050077,2007,N/A,Computational Biology; Food Chain; Oceans And Seas; Plankton; Species Specificity; Water Microbiology,Water Microbiology,N/A
10.7717/peerj.17727,2024,Benthos; Environmental DNA; Seascape; Temporal change,Seasons; Biodiversity; Animals; Geologic Sediments; Atlantic Ocean; Aquatic Organisms; Bathing Beaches; Tropical Climate; Salinity; Sand,Seasons; Biodiversity; Geologic Sediments,Chemistry
10.7717/peerj.8289,2020,Climate change; Macroalgae; Marine biodiversity; Rugosity; Sea surface temperature; Spatiotemporal variations; Tropical reefs,N/A,N/A,N/A
10.1371/journal.pone.0054159,2013,N/A,Biodiversity; Chile; Ecosystem; Environment; Environmental Monitoring; Oceans And Seas; Population Dynamics; Temperature,Biodiversity; Ecosystem; Environment; Environmental Monitoring,N/A
10.1371/journal.pone.0036541,2012,N/A,"Analysis Of Variance; Atlantic Ocean; Biodiversity; Biomass; Carbon Dioxide; Mechanical Phenomena; Plants; Stress, Physiological; Tidal Waves; Time Factors","Biodiversity; Biomass; Stress, Physiological; Tidal Waves",Metabolism; Metabolism
10.1111/j.1461-0248.2009.01305.x,2009,N/A,"Biochemical Phenomena; Carbon Dioxide; Ecosystem; Energy Metabolism; Environmental Monitoring; Geography; Greenhouse Effect; Models, Biological; Nitrogen; Panama Canal Zone; Photosynthesis; Population Dynamics; Trees; Tropical Climate","Models, Biological",Metabolism; Metabolism; Growth & Development; Metabolism
10.1073/pnas.0133045100,2003,N/A,Carbon Dioxide; Climate; Light; Photosynthesis; Rain; Trees,Photosynthesis,Metabolism; Growth & Development; Metabolism
10.1186/s40793-024-00554-9,2024,Environmental DNA; Extreme events; Land–sea continuum; Microbial dynamics; New Caledonia; River runoff,N/A,N/A,N/A
10.1073/pnas.1016308108,2011,N/A,"Ammonia; Bacteria; Betaproteobacteria; Biodiversity; Ecosystem; Genes, Bacterial; Molecular Sequence Data; Phylogeny; Rna, Bacterial; Rna, Ribosomal, 16S",Biodiversity,Metabolism; Classification; Genetics; Metabolism; Classification; Genetics; Metabolism; Genetics; Genetics
10.3390/biology12091272,2023,conservation biology; cumulative curves; diet determination; eDNA metabarcoding; frequency of occurrence; microscopy; taxonomic resolution; waterfowl,N/A,N/A,N/A
10.1104/pp.15.00613,2015,N/A,"Acacia; Anisotropy; Arabidopsis; Cell Count; Image Processing, Computer-Assisted; Microscopy, Confocal; Optics And Photonics; Plant Cells; Plant Epidermis; Plant Leaves; Plant Stomata; Quercus; Waxes",Plant Epidermis,Cytology; Cytology; Methods; Methods; Methods; Cytology; Cytology; Cytology; Cytology; Analysis
10.1002/ece3.7979,2021,DNA barcode; bioindicators; cryptic species; environmental factors; species delimitation,N/A,N/A,N/A
10.3390/ijerph191710945,2022,chironomid gut contents; eDNA metabarcoding; next-generation sequencing (NGS); river and weir habitats,Animals; Biodiversity; Chironomidae; Ecosystem; Larva; Phytoplankton; Rivers,Chironomidae,Genetics; Genetics; Genetics
10.3389/fgene.2022.957251,2022,COI; aquaculture; biodiversity; eDNA; eukaryotic communities; metabarcoding; salmonid net pins; surface water,N/A,N/A,N/A
10.1073/pnas.1803573115,2018,ancient DNA; bulk bone metabarcoding; human impacts; paleoecology; subsistence practices,Animals; Biodiversity; Bone And Bones; Dna; Fossils; Gene Pool; New Zealand,Biodiversity; Bone And Bones; Fossils; Gene Pool,Chemistry; Genetics; Isolation & Purification
10.1073/pnas.1314445110,2013,N/A,"Animals; Base Sequence; Caves; Dna; Genome, Mitochondrial; Molecular Sequence Data; Phylogeny; Time Factors; Ursidae",N/A,Genetics; Isolation & Purification; Genetics; Genetics
10.1098/rsos.221586,2024,a possible survey; coral-specific eDNA; genera-level detection; mesophotic scleractinian corals; underwater mini-ROVs,N/A,N/A,N/A
10.1038/s41598-021-89950-6,2021,N/A,"Animals; Arthropods; Dna Barcoding, Taxonomic; Ecosystem; Genetic Variation; Seasons; Soil","Dna Barcoding, Taxonomic; Ecosystem; Genetic Variation; Seasons; Soil",Classification; Genetics
10.3390/toxics11110903,2023,aquatic pollution; biodiversity; biomonitoring; eDNA analysis; ecotoxicology; pharmaceutical active chemicals,N/A,N/A,N/A
10.1098/rstb.2013.0569,2014,contaminants; ecotoxicology; environmental risk assessment; pharmaceuticals; population ecology; sewage,"Animals; Animals, Wild; Conservation Of Natural Resources; Ecosystem; Ecotoxicology; Environmental Exposure; Environmental Pollutants; Humans; Pharmaceutical Preparations; Vertebrates","Animals, Wild; Ecosystem",Chemistry; Toxicity; Chemistry; Metabolism; Metabolism
10.3897/mycokeys.106.117540,2024,Assessment; biodiversity; bioindicators; conservation; databases; floristic survey; identification; inventory; metabarcoding; monitoring,N/A,N/A,N/A
10.1002/ece3.7382,2021,ecological survey; environmental DNA; meta‐analysis; probability of detection; species detection; traditional methods,N/A,N/A,N/A
10.1002/ece3.9594,2022,cliff diversity; eDNA metabarcoding; extreme environments; fungal community composition; rock‐specialist plant species; spatial biodiversity variations,N/A,N/A,N/A
10.1002/aps3.1227,2019,collections data; diversity; fungi; macroecology; open‐source; phenology records,N/A,N/A,N/A
10.1038/nature10947,2012,N/A,"Animals; Communicable Diseases, Emerging; Ecosystem; Extinction, Biological; Food Supply; Fungi; Humans; Mycoses; Plants; Virulence",Ecosystem,Epidemiology; Microbiology; Veterinary; Classification; Genetics; Isolation & Purification; Pathogenicity; Epidemiology; Microbiology; Veterinary; Microbiology; Genetics
10.1098/rsbl.2006.0494,2006,N/A,"Animals; Canada; Chytridiomycota; Dna Primers; Japan; Models, Biological; Mycoses; Polymerase Chain Reaction; Rana Catesbeiana",N/A,Metabolism; Chemistry; Microbiology; Pathology; Microbiology; Physiology
10.1111/j.0030-1299.2004.13093.x,N/A,N/A,N/A,N/A,N/A
10.1016/j.tree.2004.07.006,2004,N/A,N/A,N/A,N/A
10.3390/insects13060534,2022,eDNA metabarcoding; host-plant usage; insect gut content; invasive species; spotted lanternfly; trophic interactions,N/A,N/A,N/A
10.1038/s41598-024-52543-0,2024,N/A,Animals; Humans; Fishes; Biomass; Fisheries; Seafood; Water,Fishes; Fisheries,Genetics
10.1111/1462-2920.16153,2022,N/A,Ecosystem; Bays; Plankton; Archaea; Eukaryota,Ecosystem; Bays,Genetics; Genetics; Genetics
10.3389/fmars.2021.709764,2021,Caribbean; ballast water; biofouling; stony coral tissue loss disease; vector of stony coral tissue loss disease; vessel discharge regulations,N/A,N/A,N/A
10.1371/journal.pone.0172468,2017,N/A,Animals; Aquatic Organisms; Atlantic Ocean; Coal; Commerce; Introduced Species; Ships; United States; Water,Aquatic Organisms; Commerce; Introduced Species; Ships,Analysis
10.1098/rspb.2005.3090,2005,N/A,"Animals; Conservation Of Natural Resources; Ecosystem; Geography; Models, Theoretical; Oceans And Seas; Population Dynamics; Seawater; Ships; Waste Disposal, Fluid; Zooplankton","Conservation Of Natural Resources; Ecosystem; Models, Theoretical; Ships",Microbiology; Physiology
10.1371/journal.pone.0201741,2018,N/A,"Animals; Biodiversity; Computational Biology; Cost-Benefit Analysis; Dna Barcoding, Taxonomic; Fresh Water; High-Throughput Nucleotide Sequencing; In Vitro Techniques; Invertebrates; Rna, Ribosomal, 18S; Reproducibility Of Results; Spain",Fresh Water,Economics; Methods; Genetics
10.1002/ece3.1155,2014,Arbuscular mycorrhizal fungi; Berger–Parker; Hill’s powers; Plantago lanceolata; Shannon index; Simpson’s index; arthropods; chemical diversity; molecular diversity; plant diversity,N/A,N/A,N/A
10.1007/s10886-009-9654-0,2009,N/A,Acetates; Animals; Glucosides; Host-Parasite Interactions; Iridoid Glucosides; Iridoids; Mycorrhizae; Plantago; Sesquiterpenes; Spodoptera; Symbiosis; Volatile Organic Compounds,N/A,Analysis; Metabolism; Analysis; Metabolism; Analysis; Metabolism; Metabolism; Chemistry; Metabolism; Microbiology; Analysis; Metabolism; Drug Effects; Analysis; Metabolism
10.1073/pnas.0607780103,2006,N/A,"Aldehyde-Lyases; Animals; Arabidopsis; Base Sequence; Botrytis; Butterflies; Capsicum; Cytochrome P-450 Enzyme Inhibitors; Cytochrome P-450 Enzyme System; Dna, Antisense; Dna, Plant; Gene Expression; Genes, Plant; Plant Diseases; Plant Leaves; Plants, Genetically Modified; Volatilization",N/A,Antagonists & Inhibitors; Genetics; Genetics; Metabolism; Microbiology; Parasitology; Pathogenicity; Pathogenicity; Enzymology; Genetics; Genetics; Genetics; Genetics; Microbiology; Parasitology; Metabolism; Microbiology; Parasitology
10.7717/peerj.2807,2016,18S; Biomonitoring; Meiofauna; Sediments; Submarine canyons; eDNA; eRNA,N/A,N/A,N/A
10.1371/journal.pone.0286620,2023,N/A,"Animals; Dna, Mitochondrial; Genome, Insect; Mitochondria; Insecta; Risk Assessment; Cell Nucleus; Phylogeny; Sequence Analysis, Dna","Dna, Mitochondrial; Genome, Insect",Genetics; Genetics; Genetics; Genetics
10.1111/mec.15724,2021,Borneo; Haemadipsidae; biodiversity; invertebrate-derived DNA; land-use change; molecular biomonitoring,"Animals; Biodiversity; Borneo; Conservation Of Natural Resources; Dna; Ecosystem; Forests; Humans; Leeches; Malaysia; Mammals; Rna, Ribosomal, 16S",Ecosystem; Leeches,Genetics; Genetics
10.1016/j.agrformet.2014.11.010,2015,Disturbance; Land use change; Leaf area index; Microclimate; Oil palm; Tropical forest,N/A,N/A,N/A
10.1111/ele.12129,2013,N/A,"Animals; Butterflies; Climate; Ecosystem; Models, Theoretical; Plants; Population Dynamics",Climate,Physiology
10.1371/journal.pone.0011554,2010,N/A,Animals; Biodiversity; Climate Change; Geological Phenomena; Population Dynamics,Biodiversity; Climate Change; Geological Phenomena,N/A
10.7717/peerj.16970,2024,Coral reef; Detritus; Porifera; Stable isotope analyses; Trophodynamics; eDNA,Animals; Ecosystem; Coral Reefs; Anthozoa; Caribbean Region; Isotopes,Ecosystem; Anthozoa,N/A
10.1098/rspb.2013.1835,2014,fishing; herbivory; macroalgae and turf algae; phase shift; reef-fish; resilience,Animals; Biodiversity; Biomass; Conservation Of Natural Resources; Coral Reefs; Fisheries; Fishes; Geography; Herbivory; Population Density; Population Dynamics,Coral Reefs,Physiology
10.1038/s42003-021-02733-7,2021,N/A,Animal Distribution; Animals; Climate Change; Herbivory; Kelp; Oceans And Seas; Perciformes; Tropical Climate; Western Australia,Animal Distribution; Climate Change; Herbivory,Physiology
10.1038/s41598-022-19064-0,2022,N/A,Animals; Diatoms; Ecology; Ecosystem; Turtles,Diatoms; Turtles,Genetics; Genetics
10.1371/journal.pone.0236513,2020,N/A,"Animals; Biodiversity; Cluster Analysis; Croatia; Diatoms; Ecosystem; Florida; Greece; Microscopy, Electron, Scanning; South Africa; Turtles",N/A,Growth & Development; Physiology
10.1371/journal.pone.0015465,2010,N/A,"Animals; Conservation Of Natural Resources; Ecology; Ecosystem; Genetics, Population; Geography; Human Activities; Humans; Marine Biology; Models, Genetic; Telemetry; Turtles",N/A,Methods; Genetics
10.1371/journal.pbio.0060171,2008,N/A,Animal Migration; Animals; Conservation Of Natural Resources; Costa Rica; Ecology; Feeding Behavior; Female; Nesting Behavior; Turtles; Water Movements,Animal Migration; Ecology,Economics; Methods; Physiology
10.1073/pnas.0603715103,2006,N/A,Animal Identification Systems; Animal Migration; Animals; Birds; Pacific Ocean; Rain; Seasons,Seasons,Physiology; Physiology
10.3389/fmicb.2019.01529,2019,16S rRNA; bacterial communities; core bacterial communities; metabarcoding; seawater; sediment; symbiosis; transmission,N/A,N/A,N/A
10.1002/ece3.7162,2021,ancient DNA; bulk bone; metabarcoding; museum collections; palaeontology,N/A,N/A,N/A
10.1038/s41598-024-69520-2,2024,Biodiversity; Integrative taxonomy; Mediterranean sea; Metabarcoding; Organismal eDNA; Zooplankton,"Animals; Mediterranean Sea; Biodiversity; Zooplankton; Ecosystem; Electron Transport Complex Iv; Rna, Ribosomal, 18S; Climate Change",Biodiversity; Zooplankton,Genetics; Genetics; Genetics
10.1186/s12862-024-02261-y,2024,Metabarcoding; Morphotypes; Species richness; V9 region,"Biodiversity; Fresh Water; Dna Barcoding, Taxonomic; Animals; Rna, Ribosomal, 18S","Biodiversity; Fresh Water; Dna Barcoding, Taxonomic",Genetics
10.3390/microorganisms11071664,2023,Atlantic Ocean; amplicon sequencing; biogeography; distribution; diversity; unicellular eukaryotes,N/A,N/A,N/A
10.1038/s41598-020-63561-z,2020,N/A,"Biomarkers; Classification; Dna, Ribosomal; Eukaryota; Genetic Variation; High-Throughput Nucleotide Sequencing; Phylogeny; Rna, Ribosomal, 18S; Salinity",Biomarkers,Genetics; Genetics; Genetics; Genetics
10.1186/s12863-023-01119-4,2023,Fish; Mare-MAGE; Metabarcoding; Mitochondrial database; eDNA,"Animals; Databases, Nucleic Acid; Dna Barcoding, Taxonomic; Fishes; Genes, Mitochondrial","Fishes; Genes, Mitochondrial",Genetics
10.7554/eLife.86576,2023,computational biology; ecology; freshwater; functional biodiversity; machine learning; multilocus metabarcoding; none; sedaDNA; systems biology,Humans; Ecosystem; Anthropogenic Effects; Artificial Intelligence; Biodiversity; Lakes,Ecosystem; Anthropogenic Effects,N/A
10.1371/journal.pone.0279672,2024,N/A,Animals; Herbivory; Bison; Wolves; Deer; Feeding Behavior; Ecosystem,Bison; Wolves; Deer,Genetics
10.1073/pnas.2012774117,2020,competition; food subsidies; niche overlap; stable isotopes,Animals; Carnivora; Feeding Behavior; Food Chain; Great Lakes Region; Humans,Feeding Behavior; Food Chain,Psychology
10.3390/s22176512,2022,biodiversity monitoring; eDNA monitoring; pollen; pollen traps; trap robot,Air Pollutants; Biodiversity; Environmental Monitoring; Humans; Pollen,Air Pollutants; Environmental Monitoring,Analysis; Methods; Chemistry
10.1371/journal.pone.0097629,2014,N/A,"Belgium; Computer Simulation; Dna Barcoding, Taxonomic; Dna Primers; Dna, Fungal; Dna, Ribosomal Spacer; Fungi; Polymerase Chain Reaction; Reproducibility Of Results; Soil Microbiology",N/A,Methods; Genetics; Genetics; Genetics; Classification; Genetics; Isolation & Purification
10.1038/s41598-022-13262-6,2022,N/A,"Biodiversity; Biomarkers; Dna; Dna Barcoding, Taxonomic; Ecosystem; Environmental Monitoring; Ontario","Dna Barcoding, Taxonomic; Ecosystem",Genetics; Methods
10.1038/s41598-021-96412-6,2021,N/A,N/A,N/A,N/A
10.1038/s41598-017-15823-6,2017,N/A,"Biodiversity; Dna; Dna Barcoding, Taxonomic; Ecosystem; Estuaries; High-Throughput Nucleotide Sequencing; Marine Biology; Phylogeny",Ecosystem; Phylogeny,Chemistry; Genetics; Methods; Methods
10.1186/1472-6785-13-34,2013,N/A,"Animals; Aquatic Organisms; Dna Barcoding, Taxonomic; Dna Primers; Invertebrates; Sequence Alignment","Dna Barcoding, Taxonomic",Classification; Genetics; Genetics; Classification; Genetics
10.1073/pnas.0510466103,2006,N/A,"Animals; Cluster Analysis; Costa Rica; Dna; Ecology; Electron Transport Complex Iv; Genetic Techniques; Genome; Internet; Lepidoptera; Models, Biological; Molecular Sequence Data; Phylogeny; Sequence Analysis, Dna; Species Specificity; Time Factors",N/A,Analysis; Genetics; Genetics; Metabolism; Genetics; Metabolism
10.1038/s41598-022-14176-z,2022,N/A,"Animals; Dna Barcoding, Taxonomic; Dna Primers; Dna, Helminth; Genes, Rrna; Helminths; Humans; Rna, Ribosomal, 16S","Dna Barcoding, Taxonomic; Helminths",Methods; Genetics; Genetics; Genetics; Genetics
10.3390/v10090496,2018,B family DNA polymerase (PolB); Megaviridae; Mimiviridae; meta-barcode; metagenome,"Biodiversity; Computational Biology; Genome, Viral; Giant Viruses; Metagenome; Metagenomics; Phylogeny; Polymerase Chain Reaction; Seawater; Water Microbiology",Biodiversity; Polymerase Chain Reaction; Water Microbiology,Methods; Classification; Genetics; Methods; Methods; Virology
10.1080/23802359.2018.1467241,2018,Atyidae; Freshwater shrimp; MiSeq; genome skimming; mitochondrial genome,N/A,N/A,N/A
10.1098/rsbl.2005.0298,2005,N/A,"Animals; Classification; Dna, Ribosomal; Decapoda; Electron Transport Complex Iv",N/A,Methods; Genetics; Anatomy & Histology; Classification; Genetics; Genetics
10.3389/fmicb.2023.1231839,2023,Arctic Holocene; eDNA; marine sediments; metabarcoding; microbial assembly; sedimentary deposition,N/A,N/A,N/A
10.1038/ismej.2010.101,2011,N/A,"Archaea; Bacteria; Biota; Environment; Eukaryota; Genes, Rrna; Rivers; Spain",Biota; Environment; Rivers,Classification; Genetics; Classification; Genetics; Classification; Genetics; Genetics
10.1002/ece3.5063,2019,PCR primers; cytochrome c oxidase subunit I gene; diet analysis; eDNA; false negatives; metabarcoding,N/A,N/A,N/A
10.3390/microorganisms9020361,2021,DNA metabarcoding workflow; archaea; bacteria; fungi; high-throughput sequencing; protists; soil and plant-associated microorganisms; terrestrial ecosystem,N/A,N/A,N/A
10.3389/fmicb.2018.03272,2018,16S rRNA; bacteria; community resistance; disturbance; diversity; global change; phylofactor; stability,N/A,N/A,N/A
10.3389/fmicb.2013.00163,2013,disturbance; fire; forest; harvest; insect; pathogen; soil microbial biomass; storm,N/A,N/A,N/A
10.1038/ismej.2012.84,2012,N/A,"Bacteria; Biodiversity; British Columbia; Cluster Analysis; Dna, Bacterial; Dna, Fungal; Forestry; Fungi; Genetic Markers; Multivariate Analysis; Sequence Analysis, Dna; Soil Microbiology; Tracheophyta; Trees",Biodiversity; Forestry; Soil Microbiology,Classification; Growth & Development; Genetics; Genetics; Classification; Growth & Development; Microbiology; Microbiology
10.1002/0470011815.b2a13070,N/A,N/A,N/A,N/A,N/A
10.1186/s12862-024-02220-7,2024,Amplicon sequence variants; Great Barrier Reef; High throughput sequenci; Metabolism strategies; Nutritional strategies; Protistan diversity,Animals; Humans; Anthozoa; Ecosystem; Biodiversity; Water; Dinoflagellida,Anthozoa; Dinoflagellida,Genetics
10.3389/fmicb.2017.01298,2017,carbon quality; ecological stoichiometry; ecosystem function; element cycling; energy transfer; nutrient dynamics; trophic interactions,N/A,N/A,N/A
10.1073/pnas.0808228106,2009,N/A,Animals; Bacteria; Ecosystem; Environmental Pollutants; Fresh Water; Gastrointestinal Tract; Molecular Sequence Data; Nitrates; Nitrous Oxide; Seawater,Ecosystem,Metabolism; Microbiology; Metabolism; Metabolism
10.1371/journal.pone.0185697,2017,N/A,"Animals; Dna Barcoding, Taxonomic; Databases, Genetic; Polymerase Chain Reaction; Zooplankton","Dna Barcoding, Taxonomic; Databases, Genetic",Genetics
10.7717/peerj.4980,2018,Aquatic; Bioassessment; DNA barcoding; Freshwater; Insect; Macroinvertebrates; Metagenomics,N/A,N/A,N/A
10.1038/s41598-024-68939-x,2024,N/A,"Dna Barcoding, Taxonomic; Animals; Lakes; Biodiversity; Ecosystem; Invertebrates; Dna","Dna Barcoding, Taxonomic; Lakes; Biodiversity",Methods; Genetics; Classification; Genetics; Isolation & Purification; Analysis
10.1111/1755-0998.13012,2019,DNA extraction; DNA metabarcoding; Water Framework Directive; benthic macroinvertebrates; freshwater bioassessment; preservative ethanol,"Animals; Dna; Dna Barcoding, Taxonomic; Ecological Parameter Monitoring; Fresh Water; Invertebrates; Metagenomics",N/A,Genetics; Isolation & Purification; Methods; Methods; Chemistry; Classification; Genetics; Methods
10.1038/s41598-017-01808-y,2017,N/A,"Animals; Biodiversity; Dna Barcoding, Taxonomic; Lakes; Metabolome; Metabolomics; Phylogeny; Rivers; Zooplankton","Biodiversity; Dna Barcoding, Taxonomic; Lakes",Methods; Classification; Genetics; Metabolism
10.1515/jib-2019-0046,2020,DNA barcoding; biogeography; data integration; environmental samples; fungal biodiversity,"Biodiversity; Dna Barcoding, Taxonomic; Ecosystem; Fungi","Dna Barcoding, Taxonomic; Ecosystem",Genetics
